name,writer,original_language,genre,binding,publication,price,transaction_method,year,read_unread,rating,writer_gender
Notes from Underground,Fyodor Dostoevsky,Russian,Fiction,Ebook,Everyman's Library,,None,2022,Yes,Excellent,Male
Prison Life in Siberia,Fyodor Dostoevsky,Russian,Non Fiction,Ebook,Stanford University Press,,None,2022,No,None,Male
Problems of Dostoevsky's Poetics,Mikhail Bakhtin,Russian,Non Fiction,Ebook,University of Minnesota Press,,None,2022,Yes,Excellent,Male
Remembering the End-Dostoevsky as Prophet to Modernity,P. Travis Kroeker,English,Non Fiction,Ebook,Westview Press,,None,2022,Yes,None,Male
Remembering the End-Dostoevsky as Prophet to Modernity,Bruce K. Ward,English,Non Fiction,Ebook,Westview Press,,None,2022,Yes,None,Male
The Eternal Husband,Fyodor Dostoevsky,Russian,Fiction,Ebook,Melville House Publishing,,None,2022,No,None,Male
The Insulted and Injured,Fyodor Dostoevsky,Russian,Fiction,Ebook,,,None,2022,No,None,Male
The Gambler,Fyodor Dostoevsky,Russian,Fiction,Ebook,,,None,2022,No,None,Male
The Double,Fyodor Dostoevsky,Russian,Fiction,Ebook,,,None,2022,No,None,Male
Dostoevsky Major Fiction,Edward Wasiolek,English,Non Fiction,Ebook,The MIT Press,,None,2022,Yes,Excellent,Male
Ivanoff,Anton Chekhov,Russian,Drama,Ebook,Brentano's Publishers,,None,2022,Yes,Moderate,Male
"Plays by Anton Chekhov, Second Series",Anton Chekhov,Russian,Drama,Ebook,,,None,2022,Yes,Excellent,Male
Orpheus Descending,Tennessee Williams,English,Drama,Ebook,,,None,2022,No,None,Male
Plays by August Strindberg,August Strindberg,Others,Drama,Ebook,Charles Scribner's Sons,,None,2022,No,None,Male
Suddenly Last Summer,Tennessee Williams,English,Drama,Ebook,,,None,2022,No,None,Male
Cat on a Hot Tin Roof,Tennessee Williams,English,Drama,Ebook,,,None,2022,No,None,Male
The Complete Greek Drama,,Greek,Drama,Ebook,Random House,,None,2022,Partially read,Moderate,
The Adventures of Tintin,Herge,French,Fiction,Ebook,,,None,2022,Yes,Excellent,Male
Hiroshige-One Hundred Famous Views of Edo,Utagawa Hiroshige,Japanese,Non Fiction,Ebook,,,None,2022,Yes,Excellent,Male
Hokusai,C. J. Holmes,English,Non Fiction,Ebook,,,None,2022,Yes,Excellent,Male
Japan Journeys-Famous Woodblock Prints of Cultural Sights in Japan,Andreas Marks,English,Non Fiction,Ebook,Tuttle Publishing,,None,2022,Yes,Excellent,Male
"Japanese Woodblock Prints, Artists, Publishers and Masterworks(1680-1900)",Andreas Marks,English,Non Fiction,Ebook,Tuttle Publishing,,None,2022,Partially read,Moderate,Male
Michelangelo-the complete sculpture,Frederick Hartt,English,Non Fiction,Ebook,Harry N. Abrams Inc. Publishers,,None,2022,Partially read,Moderate,Male
Monet,Nina Kalitina,English,Non Fiction,Ebook,,,None,2022,Yes,Excellent,Female
Monet,Nathalia Brodskaia,English,Non Fiction,Ebook,,,None,2022,Yes,Excellent,Female
One Hundred Aspects of the Moon-Japanese Woodblock Prints by Yoshitoshi,Tamara Tjardes,English,Non Fiction,Ebook,Museum of New Mexico Press,,None,2022,Yes,Excellent,Female
Ukiyo-E The Art of the Japanese Print,Frederick Harris,English,Non Fiction,Ebook,Tuttle Publishing,,None,2022,Partially read,Moderate,Male
Utamaro,Edmond de Goncourt,English,Non Fiction,Ebook,Parkstone Press International,,None,2022,Yes,Excellent,Male
Van Gogh in Arles,Ronald Pickvance,English,Non Fiction,Ebook,Harry N. Abrams Inc. Publishers,,None,2022,Partially read,Moderate,Male
Vincent van Gogh,Victoria Charles,English,Non Fiction,Ebook,Parkstone Press International,,None,2022,Yes,Excellent,Female
What is Cinema Vol 1,Andre Bazin,French,Non Fiction,Ebook,University of California Press,,None,2022,Yes,Excellent,Male
What is Cinema Vol 2,Andre Bazin,French,Non Fiction,Ebook,University of California Press,,None,2022,Yes,Excellent,Male
"Transcendental Style in Film Ozu, Bresson, Dreyer",Paul Schrader,English,Fiction,Ebook,University of California Press,,None,2022,No,None,Male
Ozu his life and films,Donald Richie,English,Non Fiction,Ebook,University of California Press,,None,2022,No,None,Male
Sculpting In Time,Andrei Tarkovsky,Russian,Non Fiction,Ebook,,,None,2022,Partially read,None,Male
"Films and Dreams Tarkovsky, Bergman, Sokurov, Kubrick, and Wong Kar- Wai",Thorsten Botz-Bornstein,English,Non Fiction,Ebook,Lexington Books,,None,2022,No,None,Male
Andrei Tarkovsky Elements of Cinema,Robert Bird,English,Non Fiction,Ebook,Reaktion Books,,None,2022,No,None,Male
Orlando,Virginia Woolf,English,Fiction,Paperback,Peacock Books,125,Online,2023,Yes,Excellent,Female
Critique of Pure Reason,Immanuel Kant,German,Non Fiction,Paperback,Penguin,531,Online,2023,No,None,Male
The Bell Jar,Sylvia Plath,English,Fiction,Paperback,Adarsh Books Pvt Ltd,225,Online,2023,Yes,Moderate,Female
The Age of AI,Henry Kissinger,English,Non Fiction,Paperback,John Murray Publishers,448,Online,2023,Yes,Moderate,Male
The Age of AI,Eric Schmidt,English,Non Fiction,Paperback,John Murray Publishers,448,Online,2023,Yes,Moderate,Male
The Age of AI,Daniel Huttenlocher,English,Non Fiction,Paperback,John Murray Publishers,448,Online,2023,Yes,Moderate,Male
